,Time,Anomaly,Year,Latitudes
402,1924;64S-44S,-0.45,1924,64S-44S
403,1924;90S-64S,-0.53,1924,90S-64S
405,1925;64N-90N,-0.09,1925,64N-90N
406,1925;44N-64N,0.18,1925,44N-64N
407,1925;24N-44N,-0.19,1925,24N-44N
408,1925;EQU-24N,-0.28,1925,EQU-24N
409,1925;24S-EQU,-0.2,1925,24S-EQU
410,1925;44S-24S,-0.24,1925,44S-24S
411,1925;64S-44S,-0.55,1925,64S-44S
412,1925;90S-64S,-0.86,1925,90S-64S
414,1926;64N-90N,0.55,1926,64N-90N
415,1926;44N-64N,0.15,1926,44N-64N
416,1926;24N-44N,-0.22,1926,24N-44N
417,1926;EQU-24N,0.0,1926,EQU-24N
418,1926;24S-EQU,0.02,1926,24S-EQU
419,1926;44S-24S,-0.34,1926,44S-24S
420,1926;64S-44S,-0.45,1926,64S-44S
421,1926;90S-64S,-0.64,1926,90S-64S
423,1927;64N-90N,0.02,1927,64N-90N
424,1927;44N-64N,-0.22,1927,44N-64N
425,1927;24N-44N,-0.13,1927,24N-44N
426,1927;EQU-24N,-0.14,1927,EQU-24N
427,1927;24S-EQU,-0.17,1927,24S-EQU
428,1927;44S-24S,-0.3,1927,44S-24S
429,1927;64S-44S,-0.45,1927,64S-44S
430,1927;90S-64S,-1.38,1927,90S-64S
432,1928;64N-90N,0.7,1928,64N-90N
433,1928;44N-64N,-0.17,1928,44N-64N
434,1928;24N-44N,-0.23,1928,24N-44N
435,1928;EQU-24N,-0.14,1928,EQU-24N
436,1928;24S-EQU,-0.16,1928,24S-EQU
437,1928;44S-24S,-0.28,1928,44S-24S
438,1928;64S-44S,-0.48,1928,64S-44S
439,1928;90S-64S,-2.12,1928,90S-64S
441,1929;64N-90N,0.14,1929,64N-90N
442,1929;44N-64N,-0.62,1929,44N-64N
443,1929;24N-44N,-0.39,1929,24N-44N
444,1929;EQU-24N,-0.28,1929,EQU-24N
445,1929;24S-EQU,-0.29,1929,24S-EQU
446,1929;44S-24S,-0.42,1929,44S-24S
447,1929;64S-44S,-0.44,1929,64S-44S
448,1929;90S-64S,-1.08,1929,90S-64S
450,1930;64N-90N,0.53,1930,64N-90N
451,1930;44N-64N,0.04,1930,44N-64N
452,1930;24N-44N,-0.11,1930,24N-44N
453,1930;EQU-24N,-0.09,1930,EQU-24N
454,1930;24S-EQU,-0.12,1930,24S-EQU
455,1930;44S-24S,-0.33,1930,44S-24S
456,1930;64S-44S,-0.47,1930,64S-44S
457,1930;90S-64S,-2.6,1930,90S-64S
459,1931;64N-90N,0.55,1931,64N-90N
460,1931;44N-64N,-0.04,1931,44N-64N
461,1931;24N-44N,-0.15,1931,24N-44N
462,1931;EQU-24N,0.1,1931,EQU-24N
463,1931;24S-EQU,0.05,1931,24S-EQU
464,1931;44S-24S,-0.42,1931,44S-24S
465,1931;64S-44S,-0.4,1931,64S-44S
466,1931;90S-64S,-0.41,1931,90S-64S
468,1932;64N-90N,0.48,1932,64N-90N
469,1932;44N-64N,0.19,1932,44N-64N
470,1932;24N-44N,-0.22,1932,24N-44N
471,1932;EQU-24N,-0.19,1932,EQU-24N
472,1932;24S-EQU,-0.14,1932,24S-EQU
473,1932;44S-24S,-0.21,1932,44S-24S
474,1932;64S-44S,-0.53,1932,64S-44S
475,1932;90S-64S,-0.99,1932,90S-64S
477,1933;64N-90N,-0.17,1933,64N-90N
478,1933;44N-64N,-0.47,1933,44N-64N
479,1933;24N-44N,-0.13,1933,24N-44N
480,1933;EQU-24N,-0.28,1933,EQU-24N
481,1933;24S-EQU,-0.28,1933,24S-EQU
482,1933;44S-24S,-0.21,1933,44S-24S
483,1933;64S-44S,-0.49,1933,64S-44S
484,1933;90S-64S,-1.15,1933,90S-64S
486,1934;64N-90N,0.87,1934,64N-90N
487,1934;44N-64N,0.3,1934,44N-64N
488,1934;24N-44N,-0.14,1934,24N-44N
489,1934;EQU-24N,-0.26,1934,EQU-24N
490,1934;24S-EQU,-0.23,1934,24S-EQU
491,1934;44S-24S,-0.15,1934,44S-24S
492,1934;64S-44S,-0.38,1934,64S-44S
493,1934;90S-64S,-0.57,1934,90S-64S
495,1935;64N-90N,0.34,1935,64N-90N
496,1935;44N-64N,-0.05,1935,44N-64N
497,1935;24N-44N,-0.17,1935,24N-44N
498,1935;EQU-24N,-0.17,1935,EQU-24N
499,1935;24S-EQU,-0.2,1935,24S-EQU
500,1935;44S-24S,-0.3,1935,44S-24S
501,1935;64S-44S,-0.42,1935,64S-44S
502,1935;90S-64S,-1.72,1935,90S-64S
504,1936;64N-90N,0.39,1936,64N-90N
505,1936;44N-64N,0.1,1936,44N-64N
506,1936;24N-44N,-0.26,1936,24N-44N
507,1936;EQU-24N,-0.05,1936,EQU-24N
508,1936;24S-EQU,-0.2,1936,24S-EQU
509,1936;44S-24S,-0.26,1936,44S-24S
510,1936;64S-44S,-0.33,1936,64S-44S
511,1936;90S-64S,-0.04,1936,90S-64S
513,1937;64N-90N,1.23,1937,64N-90N
514,1937;44N-64N,0.02,1937,44N-64N
515,1937;24N-44N,-0.03,1937,24N-44N
516,1937;EQU-24N,0.01,1937,EQU-24N
517,1937;24S-EQU,-0.11,1937,24S-EQU
518,1937;44S-24S,-0.19,1937,44S-24S
519,1937;64S-44S,-0.26,1937,64S-44S
520,1937;90S-64S,0.36,1937,90S-64S
522,1938;64N-90N,1.5,1938,64N-90N
523,1938;44N-64N,0.39,1938,44N-64N
524,1938;24N-44N,0.03,1938,24N-44N
525,1938;EQU-24N,-0.17,1938,EQU-24N
526,1938;24S-EQU,-0.27,1938,24S-EQU
527,1938;44S-24S,-0.06,1938,44S-24S
528,1938;64S-44S,-0.11,1938,64S-44S
529,1938;90S-64S,-0.87,1938,90S-64S
531,1939;64N-90N,0.56,1939,64N-90N
532,1939;44N-64N,0.28,1939,44N-64N
533,1939;24N-44N,0.08,1939,24N-44N
534,1939;EQU-24N,-0.1,1939,EQU-24N
535,1939;24S-EQU,-0.12,1939,24S-EQU
536,1939;44S-24S,-0.04,1939,44S-24S
537,1939;64S-44S,-0.19,1939,64S-44S
538,1939;90S-64S,-1.6,1939,90S-64S
540,1940;64N-90N,0.99,1940,64N-90N
541,1940;44N-64N,-0.02,1940,44N-64N
542,1940;24N-44N,-0.09,1940,24N-44N
543,1940;EQU-24N,0.28,1940,EQU-24N
544,1940;24S-EQU,0.3,1940,24S-EQU
545,1940;44S-24S,0.03,1940,44S-24S
546,1940;64S-44S,-0.2,1940,64S-44S
547,1940;90S-64S,-0.06,1940,90S-64S
549,1941;64N-90N,0.0,1941,64N-90N
550,1941;44N-64N,-0.1,1941,44N-64N
551,1941;24N-44N,0.08,1941,24N-44N
552,1941;EQU-24N,0.55,1941,EQU-24N
553,1941;24S-EQU,0.45,1941,24S-EQU
554,1941;44S-24S,0.03,1941,44S-24S
555,1941;64S-44S,-0.15,1941,64S-44S
556,1941;90S-64S,-0.47,1941,90S-64S
558,1942;64N-90N,0.72,1942,64N-90N
559,1942;44N-64N,-0.06,1942,44N-64N
560,1942;24N-44N,0.06,1942,24N-44N
561,1942;EQU-24N,0.12,1942,EQU-24N
562,1942;24S-EQU,0.04,1942,24S-EQU
563,1942;44S-24S,0.05,1942,44S-24S
